feature,ios,android,ROM GB,RAM GB,5G,price
Apple iPhone 13 (128GB) - Starlight,1,0,128,4,0,59900
Apple iPhone 14 Plus (128 GB) - (Product) RED,1,0,128,6,0,79900
Redmi 12 5G Jade Black 6GB RAM 128GB ROM,0,1,128,6,1,17999
"Redmi 13C (Starshine Green, 6GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera",0,1,128,6,0,13999
"realme narzo 60X 5G（Nebula Purple 4GB, 128GB Storage） Up to 2TB External Memory | 50 MP AI Primary Camera | Segments only 33W Supervooc Charge",0,1,128,4,1,14999
"realme narzo N53 (Feather Black, 8GB+128GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display",0,1,128,8,0,13999
"iQOO Z6 Lite 5G (Stellar Green, 6GB RAM, 128GB Storage) with Charger | Qualcomm Snapdragon 4 Gen 1 Processor | 120Hz FHD+ Display | Travel Adaptor Included in The Box",0,1,128,6,1,19999
"Redmi 13C 5G (Starlight Black, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display",0,1,128,4,1,13999
"Redmi 13C 5G (Startrail Green,6GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display",0,1,128,6,1,15999
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 8GB RAM, 128GB Storage)",0,1,128,8,1,134900
Apple iPhone 15 Pro (128 GB) - Blue Titanium,1,0,128,6,0,10999
"realme narzo N53 (Feather Gold, 4GB+64GB) 33W Segment Fastest Charging | Slim Smartphone | 90 Hz Smooth Display",0,1,64,4,0,11999
"Redmi 13C (Stardust Black, 4GB RAM, 128GB Storage) | Powered by 4G Mediatek Helio G85 | 90Hz Display | 50MP AI Triple Camera",0,1,128,4,0,28499
"Samsung Galaxy M34 5G (Prism Silver,8GB,256GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|16GB RAM with RAM+|Android 13|Without Charger",0,1,256,6,1,12999
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 8GB RAM, 128GB Storage)",0,1,128,8,1,15999
"realme narzo N53 (Feather Black, 6GB+128GB) 33W Segment Fastest Charging | Slim Smartphone | 90 Hz Smooth Display",0,1,128,6,0,13999
itel S23+| 3D Curved Amoled Display| 16GB* RAM+256GB ROM| in-Display Fingerprint| 50MP AI Dual Rear + 32MP Front Camera| 5000mAh Battery| 2 Years Warranty| Lake Cyan,0,1,256,16,0,13999
"POCO C55 (Cool Blue, 6GB RAM, 128GB Storage)",0,1,128,6,0,7799
"Redmi 13C 5G (Startrail Green, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display",0,1,128,4,1,159900
"TECNO POP 8 (Gravity Black,(8GB*+64GB)| 90Hz Punch Hole Display with Dynamic Port & Dual Speakers with DTS| 5000mAh Battery |10W Type-C| Side Fingerprint Sensor| Octa-Core Processor",0,1,64,8,0,99900
Apple iPhone 15 Pro Max (256 GB) - Blue Titanium,1,0,256,6,0,1299
Apple iPhone 13 (128GB) - Green,1,0,128,4,0,3599
Apple iPhone 15 Pro (128 GB) - Natural Titanium,1,0,128,6,0,2599
"iQOO Z7s 5G by vivo (Pacific Night, 6GB RAM, 128GB Storage) | Ultra Bright AMOLED Display | Snapdragon 695 5G 6nm Processor | 64 MP OIS Ultra Stable Camera | 44WFlashCharge",0,1,128,6,1,3999
"POCO C55 (Cool Blue, 4GB RAM, 64GB Storage)",0,1,64,4,0,69900
